1st,,,2nd,,,3rd,,
22.86,3.21,23.21,22.59,1.45,21.45,25.76,4.75,24.75
22.86,3.21,23.21,22.6,1.46,21.46,25.81,4.8,24.8
22.94,3.29,23.29,22.61,1.47,21.47,25.83,4.82,24.82
22.94,3.29,23.29,22.68,1.54,21.54,25.85,4.84,24.84
22.99,3.34,23.34,22.74,1.6,21.6,25.86,4.85,24.85
23.02,3.37,23.37,22.79,1.65,21.65,25.92,4.91,24.91
23.03,3.38,23.38,22.84,1.7,21.7,25.93,4.92,24.92
23.03,3.38,23.38,22.86,1.72,21.72,25.95,4.94,24.94
23.05,3.4,23.4,22.82,1.68,21.68,26,4.99,24.99
23.12,3.47,23.47,22.85,1.71,21.71,,,
23.12,3.47,23.47,22.79,1.65,21.65,,,
23.12,3.47,23.47,22.84,1.7,21.7,,,
23.13,3.48,23.48,22.86,1.72,21.72,,,
23.17,3.52,23.52,22.86,1.72,21.72,,,
23.13,3.48,23.48,22.85,1.71,21.71,,,
23.15,3.5,23.5,22.86,1.72,21.72,,,
23.2,3.55,23.55,22.85,1.71,21.71,,,
23.21,3.56,23.56,22.8,1.66,21.66,,,
23.21,3.56,23.56,22.8,1.66,21.66,,,
23.22,3.57,23.57,22.87,1.73,21.73,,,
23.29,3.64,23.64,23.03,1.89,21.89,,,
23.29,3.64,23.64,23.12,1.98,21.98,,,
23.32,3.67,23.67,23.15,2.01,22.01,,,
23.38,3.73,23.73,23.12,1.98,21.98,,,
23.38,3.73,23.73,23.03,1.89,21.89,,,
23.42,3.77,23.77,23.04,1.9,21.9,,,
23.47,3.82,23.82,23.04,1.9,21.9,,,
23.55,3.9,23.9,23.03,1.89,21.89,,,
23.56,3.91,23.91,23.15,2.01,22.01,,,
23.58,3.93,23.93,23.21,2.07,22.07,,,
23.64,3.99,23.99,23.21,2.07,22.07,,,
23.64,3.99,23.99,23.27,2.13,22.13,,,
23.65,4,24,23.29,2.15,22.15,,,
23.72,4.07,24.07,23.39,2.25,22.25,,,
23.64,3.99,23.99,23.47,2.33,22.33,,,
23.64,3.99,23.99,23.46,2.32,22.32,,,
23.64,3.99,23.99,23.46,2.32,22.32,,,
23.69,4.04,24.04,23.46,2.32,22.32,,,
23.73,4.08,24.08,23.47,2.33,22.33,,,
23.83,4.18,24.18,23.47,2.33,22.33,,,
23.83,4.18,24.18,23.43,2.29,22.29,,,
23.82,4.17,24.17,23.44,2.3,22.3,,,
23.82,4.17,24.17,23.44,2.3,22.3,,,
23.82,4.17,24.17,23.46,2.32,22.32,,,
23.82,4.17,24.17,23.47,2.33,22.33,,,
23.82,4.17,24.17,23.49,2.35,22.35,,,
23.82,4.17,24.17,23.55,2.41,22.41,,,
23.82,4.17,24.17,23.64,2.5,22.5,,,
23.82,4.17,24.17,23.72,2.58,22.58,,,
23.82,4.17,24.17,23.65,2.51,22.51,,,
23.87,4.22,24.22,23.63,2.49,22.49,,,
23.93,4.28,24.28,23.55,2.41,22.41,,,
24.05,4.4,24.4,23.54,2.4,22.4,,,
24.09,4.44,24.44,23.47,2.33,22.33,,,
24.08,4.43,24.43,23.51,2.37,22.37,,,
24.17,4.52,24.52,23.55,2.41,22.41,,,
24.19,4.54,24.54,23.55,2.41,22.41,,,
24.25,4.6,24.6,23.54,2.4,22.4,,,
24.34,4.69,24.69,23.47,2.33,22.33,,,
24.43,4.78,24.78,23.52,2.38,22.38,,,
24.43,4.78,24.78,23.56,2.42,22.42,,,
24.43,4.78,24.78,23.65,2.51,22.51,,,
24.43,4.78,24.78,23.75,2.61,22.61,,,
24.51,4.86,24.86,23.75,2.61,22.61,,,
24.52,4.87,24.87,23.74,2.6,22.6,,,
24.5,4.85,24.85,23.74,2.6,22.6,,,
24.39,4.74,24.74,23.79,2.65,22.65,,,
