Colourimetric 1,,Colourimetric 2,,Colourimetric 3,
Temp,PWM,Temp,PWM,Temp,PWM
67.43,0,,,,
67.4,0,,,,
67.38,0,,,,
67.35,0,,,,
67.29,0,,,,
67.22,0,,,,
67.17,0,,,,
67.15,0,,,,
67.08,0,,,,
67.01,0,,,,
66.96,0,,,,
66.9,0,,,,
66.85,0,,,,
66.77,0,,,,
66.72,0,,,,
66.62,0,,,,
66.55,0,,,,
66.52,0,,,,
66.42,0,,,,
66.35,0,,,,
66.27,0,,,,
66.18,0,,,,
66.12,0,,,,
66.01,0,,,,
65.94,0,,,,
65.85,0,,,,
65.75,0,,,,
65.67,0,,,,
65.59,0,,,,
65.51,0,,,,
65.39,0,,,,
65.32,0,,,,
65.24,0,,,,
65.13,0.1,,,,
65.06,0.63,,,,
64.93,4.58,,,,
64.87,4.14,,,,
64.75,8.11,,,,
63.96,41.56,,,,
64.54,0,,,,
64.48,13.03,,,,
64.34,18.56,,,,
64.3,16.96,,,,
63.55,50.09,,,,
64.09,8.04,,,,
63.97,27.07,,,,
63.91,27.49,,,,
63.8,31.39,,,,
63.03,64.29,,,,
63.65,18.18,,,,
63.58,37.29,,,,
62.79,72.25,,,,
63.38,26.62,,,,
63.38,42.25,,,,
62.6,78.49,,,,
63.21,32.7,,,,
63.24,47.17,,,,
62.47,84.02,,,,
63.16,34.3,,,,
63.17,52.29,,,,
62.44,86.93,,,,
63.06,41.2,,,,
63.17,52.92,,,,
62.42,90.6,,,,
63.1,42.21,,,,
63.17,57.27,,,,
62.48,91.31,,,,
63.19,42.69,,,,
62.83,77.85,,,,
63.04,60.42,,,,
63.38,51.03,,,,
63.44,57.83,,,,
63.53,55.88,,,,
63.1,78.49,,,,
63.41,54.6,,,,
63.79,45.97,,,,
63.91,50.42,,,,
63.98,50.71,,,,
64.11,47.08,,,,
63.47,80.07,,,,
64.33,25.78,,,,
64.47,41.15,,,,
63.82,74.48,,,,
64.72,17.68,,,,
64.84,34.88,,,,
64.19,67.88,,,,
65.11,9.93,,,,
65.21,28.21,,,,
65.21,31.05,,,,
65.48,18.19,,,,
64.99,47.18,,,,
65.74,1.03,,,,
65.9,11.9,,,,
66,10.69,,,,
66.13,7.07,,,,
64.45,86.02,,,,
66.37,0,,,,
66.51,0,,,,
66.57,0,,,,
66.7,0,,,,
66.77,0,,,,
66.9,0,,,,
66.97,0,,,,
67.08,0,,,,
67.11,0,,,,
67.16,0,,,,
67.23,0,,,,
67.31,0,,,,
67.37,0,,,,
67.39,0,,,,
67.46,0,,,,
67.5,0,,,,
67.54,0,,,,
67.57,0,,,,
67.58,0,,,,
67.58,0,,,,
67.6,0,,,,
67.59,0,,,,
67.59,0,,,,
67.59,0,,,,
67.57,0,,,,
67.39,0,,,,
67.38,0,,,,
67.37,0,,,,
67.34,0,,,,
67.33,0,,,,
67.3,0,,,,
67.23,0,,,,
67.18,0,,,,
67.15,0,,,,
67.13,0,,,,
67.06,0,,,,
67,0,,,,
67,0,,,,
66.92,0,,,,
66.92,0,,,,
66.83,0,,,,
66.75,0,,,,
66.71,0,,,,
66.62,0,,,,
66.55,0,,,,
66.49,0,,,,
66.41,0,,,,
66.34,0,,,,
66.27,0,,,,
66.16,0,,,,
66.11,0,,,,
66.02,0,,,,
65.92,0,,,,
65.86,0,,,,
65.74,0,,,,
65.7,0,,,,
65.59,0,,,,
65.51,0,,,,
65.41,0,,,,
65.33,0,,,,
65.26,0,,,,
65.14,0.16,,,,
65.05,1.29,,,,
64.94,4.02,,,,
64.89,3.62,,,,
64.74,9.03,,,,
64.01,38.98,,,,
64.54,0,,,,
